,SBL
0,55.72753308770742
1,55.33590058140037
2,55.61008441476468
3,55.16677168313426
4,56.276219802058336
5,55.86060531523995
6,55.78630192648183
7,56.22313147373384
8,56.48566156823792
9,56.84064223610129
10,57.59113151533849
11,57.22108129247477
12,57.29100626860536
13,57.22080297411623
14,56.60145280484897
15,57.05745440181574
16,57.30347276730564
17,56.84815662864976
18,57.27205841201908
19,58.158936320918464
20,58.70592688899309
21,58.69933907574149
22,58.480639981299205
23,59.21445943426888
24,59.087075048044746
25,58.960826417731234
26,58.49763297390697
27,58.01362151982997
28,57.881060998280496
29,58.395584671680346
30,58.12514682864299
31,58.771185644914496
32,58.90923510418514
33,59.00412733630209
34,58.49826826216051
35,58.57390293157922
36,58.79872936366449
37,58.21150014297709
38,58.94056384087566
39,60.037986552227146
40,60.45424350894047
41,59.70976540206028
42,59.41313577652684
43,59.788883120876726
44,59.93169134069365
45,60.212185810166105
46,60.65072817888316
47,60.50385293417384
48,59.82078891559928
49,60.31442897026891
50,60.47320416448273
51,60.43367427404159
52,60.12983758297817
53,60.09544536304298
54,59.237609507559306
55,58.94799936020432
56,59.406532354149554
57,59.6937406332849
58,59.83327386072787
59,60.08020172491438
60,60.20680377280343
61,59.560263728192
62,59.38725413533008
63,59.634140377541456
64,59.82058060166212
65,60.400792173080205
66,60.06761035881328
67,60.65881326395953
68,60.77645379238786
69,61.85147445537449
70,62.25775719705886
71,61.96878700250798
72,61.50316809047976
73,60.8197728659671
74,60.88139544887718
75,61.1005389868415
76,61.36354076604591
77,60.74140812567536
78,60.42550275818884
79,60.425908176181686
80,60.6666208334362
81,60.08697881525006
82,60.52851208231381
83,59.851076785895614
84,60.13742334953533
85,60.18693591786248
86,59.54918517349893
87,59.20362610016825
88,60.49938532523253
89,60.34145926577731
90,60.66409311736251
91,60.63880309363999
92,59.7706712469136
93,59.37125774489645
94,59.45706612027199
95,58.56786147041032
96,57.63260137941814
97,56.67347103206818
98,57.57125174319504
99,57.36180344702864
100,56.57576798133852
101,56.85799960933549
102,56.35565708962495
103,55.60285017471941
104,55.307727266294464
105,55.177139656412336
106,53.85274564966042
107,53.61952737450248
108,52.70625745666135
109,52.49175527572002
110,51.62472520183643
111,51.44192419149034
112,50.97883612351762
113,51.103301217453655
114,51.18162195138176
115,51.039673273493165
116,50.36366521186671
117,50.07800672993592
118,50.0088430112903
119,50.33935340551013
120,50.25481473590383
121,49.90057764766206
122,49.81608938419289
123,49.68680860658311
124,49.69111436916805
125,49.57486581031129
126,50.05582555514598
127,49.53466096080539
128,49.37918302954788
129,49.49537812134656
130,49.88039813250372
131,49.877049989542336
132,49.701766566711896
133,50.04496187579269
134,50.297418185450205
135,50.36501790512276
136,50.36044770908586
137,50.15324615607785
138,50.23312976521672
139,50.60023190254531
140,50.95211302787655
141,51.54478195709272
142,50.91267319188328
143,51.494002499355226
144,51.26866084309813
145,51.85330274449828
146,52.397880315492735
147,53.22168968868792
148,53.96164905917743
149,54.00769259758457
150,53.37297905638527
151,53.793053883213176
152,53.83279028339412
153,53.9874294671135
154,54.29718283090808
155,54.83872338968421
156,54.99942364531302
157,55.38708405117556
158,55.15534272352781
159,56.34963665792589
160,56.12540947738778
161,55.11911101223016
162,55.05570942811495
163,55.03227239427683
164,55.170918921522464
165,54.73699522659076
166,54.303982416913406
167,55.37097238202956
168,55.098125976878734
169,54.71623791410288
170,54.60101061000643
171,55.11436450474086
172,54.37915921219202
173,53.65669807684913
174,53.589408480505696
175,53.37306371816764
176,53.62176664189963
177,54.28210585691305
178,53.70945105614661
179,53.69864211783723
180,53.957674695939325
181,54.21409494802863
182,54.24073588537358
183,53.82920352690303
184,54.54631019668573
185,53.35300241692206
186,54.17904352915071
187,53.62754318215312
188,53.45650286540935
189,53.389154904776525
190,53.98184829905821
191,54.20932507237443
192,54.18741834512544
193,53.738479993705454
194,54.01539307585407
195,53.27282321204946
196,52.67560860595525
197,53.19304769558353
198,53.33833029865177
199,52.91285777720616
200,52.676102814003805
201,52.68404743088836
202,51.59858933762281
203,51.76946018258791
204,51.11149971091945
205,51.730960046327375
206,52.04119884128445
207,52.65394397075008
208,51.990238525942935
209,52.08040455405997
210,52.2258637667693
211,52.53515176073803
212,51.96138699734978
213,51.85819972684511
214,51.25769005163968
215,51.01789615585072
216,51.018937418462514
217,50.78802141818054
218,51.20933119752174
219,51.220477327453416
220,50.308471259368254
221,50.68629740744803
222,50.89042778470487
223,50.81018750330674
224,50.7881772599558
225,51.106687693959145
226,51.688602750369085
227,52.39949052064355
228,51.79279674299782
229,51.893450593642186
230,51.73163524328526
231,51.34636462361871
232,50.96173273553422
233,51.57329057094585
234,52.1792019053071
235,52.26400219071679
236,52.28812455523655
237,51.94395284872115
238,52.48519213215245
239,52.68187894155237
240,53.587513645875376
241,53.12003086009732
242,53.156107468622274
243,53.66038612788876
244,53.45353737842075
245,53.70032968813724
246,53.7830031860648
247,54.16761302653119
248,54.3666839265285
249,54.18447493122932
250,54.564913996753845
251,54.33669279458684
