,A,B,C,D,E,F,G,H,I,J
1,119.96,198.25,76.54,32.08,53.2,19.47,40.63,43.47,19.76,113.91
2,120.32,201.42,76.73,31.86,53.88,19.23,40.47,45.16,19.88,112.98
3,119.6,200.23,77.6,31.56,55.11,18.93,39.84,46.03,20.29,114.24
4,121.76,199.61,79.48,31.62,55.8,19.15,40.13,46.89,20.01,114.27
5,120.1,199.64,81.49,31.89,55.02,19.16,39.94,47.59,20.12,113.87
6,117.7,198.18,81.09,31.58,57.29,18.8,39.45,47.59,20.3,114.08
7,120.71,197.18,81.74,32.25,58.65,19.36,40.3,47.89,20.27,115.93
8,121.85,200.19,82.62,32.32,58.65,19.1,39.82,45.8,20.7,117.28
9,120.53,198.98,82.49,32.27,59.42,18.44,38.7,44.97,20.65,121.71
10,121.48,199.16,83.64,32.38,59.57,18.74,38.55,44.02,20.57,123.16
11,118.62,202.75,84.09,31.59,60.62,18.36,37.6,45.25,20.98,124.91
12,120.21,205.16,86.12,32.27,64.35,18.42,37.56,45.14,21.01,131.87
13,115.85,203.7,85.69,31.23,65.04,17.85,36.44,44.78,21.35,131.35
14,114.04,199.62,84.5,30.64,65.58,17.79,36.41,46.34,20.83,131.11
15,113.74,202.8,83.87,30.56,65.8,17.99,36.54,46.09,20.77,129.87
16,113.89,197.56,83.59,30.37,64.9,18.44,36.31,47.5,20.37,127.73
17,113.57,200.74,84.42,30.1,66.18,18.1,35.71,48.6,20.19,129.31
18,115.33,197.68,84.79,30.42,67.21,18.29,36.08,49.32,20.26,131.63
19,115.34,198.68,84.72,30.15,66.77,18.28,36.37,50.79,20.1,127.96
20,117.52,197.09,85.53,30.25,66.75,18.57,36.72,50.91,20.27,129.52
21,117.57,190.67,83.64,30.25,68.28,18.54,36.92,51.93,19.8,135.45
22,119.04,195.6,80.92,30.36,69.64,18.42,36.75,52.69,19.83,135.19
23,120.7,200.48,81.26,30.44,69.2,18.47,36.53,48.21,19.75,133.41
24,121.84,200.52,80.51,30.43,70.31,18.52,36.42,48.65,20.08,137.64
25,123.4,202.2,80.9,30.62,69.92,18.66,36.22,48.37,19.72,138.68
26,120.55,202.74,81.94,29.82,69.26,18.01,35.46,47.06,20.05,133.88
27,118.51,203.85,80.33,29.26,68.87,17.52,35.42,47.09,19.82,137.51
28,118.57,205.35,80.26,29.59,68.33,17.43,36.06,48.15,19.47,138.36
29,114.89,205.82,81.09,28.86,68.56,16.93,35.17,46.53,19.56,137.69
30,113.2,201.07,80.77,29.04,69.25,17.29,35.14,47.35,19.22,137.0
31,112.29,200.58,81.69,28.29,70.64,17.09,35.1,47.28,19.2,141.07
32,111.25,195.99,82.84,28.38,73.46,17.26,34.86,47.16,19.0,146.78
33,112.14,191.6,82.33,28.86,75.4,17.52,35.92,48.4,18.52,145.62
34,111.18,191.8,84.68,28.83,73.88,16.91,35.11,50.14,18.48,144.75
35,112.08,193.96,84.27,29.5,73.51,17.51,35.94,51.97,18.5,142.27
36,110.99,194.66,86.58,29.63,73.52,17.57,35.67,53.67,18.31,143.24
37,111.59,193.32,86.94,29.71,73.85,17.27,35.58,54.74,18.52,146.07
38,113.14,190.39,86.65,30.09,74.03,17.69,35.94,54.09,18.59,144.99
39,114.29,190.34,85.28,30.19,73.93,17.92,36.25,55.0,18.84,144.26
40,117.96,192.23,84.32,30.49,75.03,18.52,37.17,54.93,18.93,147.29
41,116.55,190.63,84.56,30.21,74.96,18.51,36.87,56.86,18.8,148.1
42,116.7,190.88,84.17,30.81,76.29,18.56,37.27,59.24,18.32,151.04
43,115.15,184.84,84.93,29.77,78.67,18.17,35.98,55.69,18.52,154.47
44,114.42,189.36,84.82,29.88,79.78,18.26,36.28,55.61,18.63,157.06
45,114.71,188.7,85.53,30.34,79.8,18.35,36.05,55.74,18.78,156.2
