,weather
0,0.5795212892231816
1,0.4066698107929895
2,0.04636383325240324
3,-0.24623542236533388
4,0.04437738763408407
5,0.18303454107219447
6,0.2013574198318357
7,0.6588389550917387
8,0.29211241573690816
9,1.111034758461003
10,0.9633849717694375
11,0.5774838773659922
12,1.045055482629931
13,0.3917780006650663
14,1.1006651763491453
15,1.381787406073942
16,0.9337035834462626
17,1.5203775178704169
18,2.2407220772531615
19,1.028680858444329
20,1.2641198087602035
21,0.8505378312852894
22,0.867600081962287
23,1.8771668718352017
24,1.3913676626640292
25,1.433146722461614
26,1.4262063808838852
27,1.4263085295162703
28,1.7972006490083245
29,1.904073927517885
30,1.926609070746945
31,1.470605652868141
32,1.8142604512696017
33,2.318849510157819
34,1.5783099971713597
35,1.961434618988809
36,1.2917775176862414
37,0.8810203991384603
38,1.4497851038533789
39,0.9766938884842973
40,0.043924145231379594
41,-0.2925774361890819
42,-0.13926457323649555
43,0.07459224606952974
44,-0.48828162785944257
45,-0.406928073926455
46,-0.761756784220445
47,-0.9431706290580998
48,-0.982447203310759
49,-1.341913258319878
50,-1.328979702666735
51,-1.71407838944121
52,-0.6574640897809628
53,-1.090914609427076
54,0.17247139900364122
55,0.0797554656819645
56,1.1050752970333837
57,0.8244279110989803
58,1.4399503450023148
59,1.2794152553917213
60,0.8636364897071617
61,1.5438553007060478
62,0.1773108171407554
63,0.2167487947371689
64,0.35788024491093484
65,0.9180407539230158
66,0.10329643351153785
67,0.6660856685434521
68,0.5359477640617661
69,0.616238684669549
70,0.057990309761562546
71,0.41709387507369017
72,-0.026828662709637015
73,0.15923993528910124
74,-0.5469059150980168
75,-0.5102487998561389
76,-1.7143762365611284
77,-1.5291045949546165
78,-1.5251391115186974
79,-1.4736584338944683
80,-1.1415142212516387
81,-1.524219468011229
82,-0.8360386566093991
83,-1.7562458853918101
84,-0.4153767841572622
85,0.3918661082555948
86,0.38036507705735845
87,0.557949621035207
88,0.49726621171643454
89,1.1554835130239942
90,1.4228868121211373
91,1.4790182367854747
92,1.7853053800772491
93,1.4381281802914974
94,1.4156276760194693
95,1.5032048217926368
96,0.8183346179459624
97,0.6374968879680557
98,0.6451362756025375
99,1.3005465493969341
100,1.4981328469230335
101,1.729954515222977
102,1.1998113500033867
103,1.153401249893448
104,1.3671008976100019
105,0.9732060571440652
106,1.0578771846554305
107,1.5634183033421252
108,1.5598331994915438
109,1.6831601317384615
110,0.9696459766812108
111,1.3008143349892396
112,0.6967033951210144
113,0.1719219973690946
114,0.953168604400703
115,0.5775365126570433
116,-0.12999619124643197
117,-0.22672662799865395
118,-0.4444982698824539
119,-0.8178218166841674
120,-1.627293138663453
121,-1.6856352496838067
122,-2.173819455708661
123,-2.24756012272805
124,-2.0555929051466486
125,-2.232499242219958
126,-3.0612018791549787
127,-3.381765590779339
128,-3.022628995357984
129,-3.218800229950039
130,-3.482838468446709
131,-3.0177549395027246
132,-2.6819310712338034
133,-2.2039607316784213
134,-2.2670041230907345
135,-2.327311225269992
136,-2.999741657785971
137,-3.026312737134283
138,-2.8776612738892196
139,-2.790903752873774
140,-1.4957403977622348
141,-1.0830426420806671
142,-0.0027350182528589773
143,0.5701701906541992
144,0.11234726807086075
145,0.307272894099932
146,-0.04575826418220953
147,0.12250896030236902
148,0.18838638244528155
149,0.510357292499639
150,0.4579216768876003
151,0.8375571972991264
152,-0.030495794409227825
153,0.06191424429375448
154,-0.33810793884676194
155,-0.4904172252764235
156,-0.46001854496965516
157,1.0329483629390024
158,0.3188189676806178
159,0.9784754290658528
160,0.7940933033700409
161,0.8476218568234378
162,1.2060495035336907
163,1.3158956301366165
164,0.0483832728662074
165,1.3563788969345274
166,1.7303815967756178
167,1.9087568919306392
168,2.241655303683743
169,2.321958363362435
170,1.9324815246325704
171,1.301843849724527
172,0.8389545051977144
173,1.3793040225953501
174,0.9791838822554934
175,1.7015564554505163
176,1.9409929464996538
177,1.8246655444309807
178,2.4901050033482908
179,2.0738769966421273
180,1.890027825472068
181,1.696920415983625
182,2.0482454524020266
183,2.049260094080843
184,1.882874681432499
185,2.041811771572881
186,2.3406328429187115
187,1.7548669398496113
188,1.9097592753096069
189,1.9763836954249254
190,1.578641285818702
191,1.6105387383197665
192,1.2729450302933958
193,1.6525603323535716
194,1.892480111165906
195,1.7192222681960572
196,1.7834521338368354
197,2.288802197801077
198,2.300185438083294
199,2.5538329560018598
200,2.5563313053710313
201,2.120042331908729
202,1.380270221839891
203,1.6227044607530492
204,1.2264246058539743
205,0.8858516562794929
206,2.354639434271104
207,2.348932838617667
208,2.5155760561670824
209,2.635351380495746
210,2.3053172548058907
211,1.1529826279100504
212,1.9690517427083178
213,1.695698659753273
214,2.510910846393226
215,2.0154485465882273
216,1.9893063318659188
217,1.8353809664797398
218,2.273256897422455
219,2.753572925748439
220,2.043151180992191
221,1.705254115130911
222,1.8669432125536494
223,2.168538481823621
224,2.138717781340164
225,1.4404928879618246
226,1.730561423908475
227,2.651960546126661
228,1.36745311175728
229,1.2427296661923015
230,0.7869206085208844
231,0.898761064227894
232,1.1178142786918726
233,0.6272320900737465
234,1.036354584282206
235,0.7762873519088066
236,0.8665181891761347
237,0.510245726126758
238,0.5712833994153935
239,-0.08115760941123067
240,-0.451299311320052
241,-0.8995422402164136
242,-1.1528140333258352
243,-1.1051764513597737
244,-1.6639012690953103
245,-2.159526123937192
246,-2.5501380347674614
247,-1.3987230183522477
248,-1.0563873149649203
249,-1.6378086148663527
250,-1.950157578271376
251,-2.9978797857029593
